date,ticker,open,high,low,close,volume,ma_10,ma_20,ema_20,momentum,volatility,next_day_return
2025-01-02,^IXIC,19403.9,19517.9,19117.6,19280.8,8737550000,,,19280.8,,,0.0176803
2025-01-03,^IXIC,19395.5,19638.7,19379.6,19621.7,8214050000,,,19313.3,,,0.0123996
2025-01-06,^IXIC,19852,20007.9,19785,19865,9586840000,,,19365.8,,,-0.0188926
2025-01-07,^IXIC,19938.1,19940.2,19421,19489.7,13371130000,,,19377.6,,,-0.000554079
2025-01-08,^IXIC,19469.4,19544.5,19308.5,19478.9,8851720000,,,19387.2,,,-0.0162869
2025-01-10,^IXIC,19312.3,19315.1,19018.8,19161.6,8608880000,,,19365.8,-119.158,,-0.00383742
2025-01-13,^IXIC,18903.7,19100,18831.9,19088.1,7830760000,,,19339.3,-533.58,,-0.00228986
2025-01-14,^IXIC,19207.8,19273.1,18926.6,19044.4,7168110000,,,19311.2,-820.59,,0.0245132
2025-01-15,^IXIC,19350.3,19548.9,19299.3,19511.2,7260250000,,,19330.3,21.5508,,-0.00886369
2025-01-16,^IXIC,19573.9,19579.8,19335.7,19338.3,7085990000,19388,,19331,-140.592,,0.0150949
2025-01-17,^IXIC,19655.6,19709.6,19543.3,19630.2,7996360000,19422.9,,19359.5,468.568,,0.00644823
2025-01-21,^IXIC,19734.4,19789.6,19551.2,19756.8,8015780000,19436.4,,19397.4,668.68,,0.0127835
2025-01-22,^IXIC,19903.1,20068.5,19903.1,20009.3,7219060000,19450.9,,19455.6,964.949,,0.00221596
2025-01-23,^IXIC,19907,20053.7,19892.6,20053.7,6837700000,19507.3,,19512.6,542.449,,-0.00495564
2025-01-24,^IXIC,20087.1,20118.6,19897.1,19954.3,7708150000,19554.8,,19554.7,616.012,,-0.0306937
2025-01-27,^IXIC,19234,19514.3,19204.9,19341.8,8870200000,19572.8,,19534.4,-288.369,,0.0202545
2025-01-28,^IXIC,19418.2,19759.4,19294.6,19733.6,7121740000,19637.4,,19553.4,-23.1895,,-0.00513184
2025-01-29,^IXIC,19695.7,19699.8,19479.5,19632.3,6497710000,19696.2,,19560.9,-377.02,,0.00251777
2025-01-30,^IXIC,19697.5,19785.8,19483.8,19681.8,6679500000,19713.2,,19572.4,-371.93,,-0.00275944
2025-01-31,^IXIC,19832.3,19969.2,19575.2,19627.4,7947370000,19742.1,19565,19577.6,-326.861,293.047,-0.0119974
2025-02-03,^IXIC,19215.4,19502.1,19141.2,19392,8272460000,19718.3,19570.6,19560,50.1309,288.388,0.0135138
2025-02-04,^IXIC,19422.2,19666.4,19408.2,19654,6477050000,19708,19572.2,19568.9,-79.5703,288.78,0.00194925
2025-02-05,^IXIC,19533.1,19696.9,19498.9,19692.3,6712220000,19676.3,19563.6,19580.7,60.0098,282.071,0.00506086
2025-02-06,^IXIC,19725.8,19793.4,19654.1,19792,6642100000,19650.2,19578.7,19600.8,110.24,285.975,-0.0135706
2025-02-07,^IXIC,19774.9,19862.5,19489.4,19523.4,7748940000,19607.1,19580.9,19593.4,-104.039,285.329,0.00977643
2025-02-10,^IXIC,19668.2,19772,19650.8,19714.3,9535440000,19644.3,19608.6,19604.9,322.309,268.871,-0.00357153
2025-02-11,^IXIC,19602.1,19731.9,19579.8,19643.9,9269380000,19635.3,19636.3,19608.6,-10.1602,239.348,0.000310013
2025-02-12,^IXIC,19436.5,19682.5,19415.5,19649.9,7946550000,19637.1,19666.6,19612.6,-42.3809,194.652,0.0150479
2025-02-13,^IXIC,19696.9,19952.2,19675.9,19945.6,8414510000,19663.5,19688.3,19644.3,153.65,200.548,0.0040675
2025-02-14,^IXIC,19956.8,20045.8,19932.2,20026.8,7995720000,19703.4,19722.8,19680.7,503.369,196.342,0.000723543
2025-02-18,^IXIC,20090.6,20110.1,19909.7,20041.3,8683170000,19768.3,19743.3,19715.1,326.99,207.348,0.000747969
2025-02-19,^IXIC,19994.5,20099.4,19928.9,20056.2,8171530000,19808.6,19758.3,19747.6,412.391,218.864,-0.00468136
2025-02-20,^IXIC,20029.2,20041.2,19795,19962.4,7329270000,19835.6,19755.9,19768,312.41,216.265,-0.0219588
2025-02-21,^IXIC,20006.7,20016.7,19510.9,19524,8461020000,19808.8,19729.5,19744.8,-421.631,210.233,-0.012143
2025-02-24,^IXIC,19590.8,19644.2,19275.5,19286.9,7414760000,19785.1,19696.1,19701.2,-739.84,225.106,-0.0135086
2025-02-25,^IXIC,19242.6,19256.3,18871.5,19026.4,7991440000,19716.3,19680.3,19636.9,-1014.87,259.636,0.00256849
2025-02-26,^IXIC,19109.3,19286,18966.5,19075.3,7034450000,19659.5,19647.4,19583.4,-980.99,292.215,-0.0278287
2025-02-27,^IXIC,19212.4,19242.7,18535.2,18544.4,7700290000,19548.9,19593,19484.5,-1417.94,382.484,0.0163316
2025-02-28,^IXIC,18477.2,18861.3,18373,18847.3,8247520000,19439.1,19551.3,19423.8,-676.73,416.313,-0.0263746
2025-03-03,^IXIC,18923.4,18992.3,18216.6,18350.2,8170140000,19271.4,19487.4,19321.5,-936.74,494.617,-0.00354379
2025-03-04,^IXIC,18176.4,18589.5,17956.6,18285.2,8469180000,19095.8,19432.1,19222.8,-741.23,563.045,0.0146332
2025-03-05,^IXIC,18313,18604.5,18144.7,18552.7,7048430000,18945.5,19377,19159,-522.529,593.24,-0.0260593
2025-03-06,^IXIC,18204.5,18439.2,17980.4,18069.3,7686200000,18756.2,19295.9,19055.2,-475.16,655.577,0.00702635
2025-03-07,^IXIC,18029.8,18243.6,17768.6,18196.2,8135420000,18623.4,19216.1,18973.4,-651.059,688.309,-0.0400028
2025-03-10,^IXIC,17840.3,17868.1,17291.8,17468.3,8636040000,18441.5,19113.3,18830.1,-881.869,786.42,-0.00184452
2025-03-11,^IXIC,17443.1,17687.4,17238.2,17436.1,9177320000,18282.5,18999.4,18697.3,-849.061,856.649,0.0121787
2025-03-12,^IXIC,17711.4,17800.1,17436.3,17648.4,7746430000,18139.8,18899.6,18597.4,-904.281,893.068,-0.0195734
2025-03-13,^IXIC,17598.6,17621.9,17239.4,17303,7147050000,18015.7,18782.3,18474.1,-766.25,942.135,0.0260695
2025-03-14,^IXIC,17523.3,17773.5,17491.1,17754.1,7093850000,17906.4,18672.7,18405.6,-442.131,927.034,0.00307368
2025-03-17,^IXIC,17722.5,17925.9,17645.9,17808.7,6306340000,17852.2,18561.8,18348.7,340.34,888.393,-0.0171007
2025-03-18,^IXIC,17662.6,17682.9,17431.7,17504.1,6450530000,17774.1,18435,18268.3,68.0195,846.159,0.0140921
2025-03-19,^IXIC,17590.1,17917.5,17533.9,17750.8,6302310000,17693.9,18319.7,18219,102.34,767,-0.00333271
2025-03-20,^IXIC,17586.1,17903.2,17576.8,17691.6,6098330000,17656.1,18206.2,18168.8,388.621,673.395,0.00522393
2025-03-21,^IXIC,17519.8,17798.1,17474.8,17784.1,8837930000,17614.9,18119.2,18132.1,29.9609,602.879,0.0227473
2025-03-24,^IXIC,18046.2,18210.1,18030.7,18188.6,6787790000,17686.9,18064.2,18137.5,379.93,537.372,0.00457812
2025-03-25,^IXIC,18208,18281.1,18170.4,18271.9,6475790000,17770.5,18026.5,18150.3,767.74,490.73,-0.0204051
2025-03-26,^IXIC,18217.3,18236.6,17837.3,17899,9091510000,17795.6,17967.7,18126.4,148.23,424.431,-0.00530701
2025-03-27,^IXIC,17811.2,17988,17743.8,17804,8002470000,17845.7,17930.7,18095.7,112.398,403.241,-0.0270186
2025-03-28,^IXIC,17722.1,17763.3,17283.1,17323,7015410000,17802.6,17854.5,18022.1,-461.061,362.914,-0.00136819
2025-03-31,^IXIC,17045.4,17335,16854.4,17299.3,8122180000,17751.6,17801.9,17953.2,-889.301,363.439,0.00870565
2025-04-01,^IXIC,17221.6,17506.6,17149.4,17449.9,7756540000,17746.2,17760.2,17905.3,-821.969,352.823,0.00866253
2025-04-02,^IXIC,17207,17716.5,17181.3,17601.1,9126630000,17731.2,17712.6,17876.3,-297.969,300.617,-0.0596806
2025-04-03,^IXIC,16790.5,16889.3,16533,16550.6,9461330000,17617.1,17636.6,17750.1,-1253.42,385.573,-0.0581743
2025-04-04,^IXIC,16045.6,16128.2,15575.7,15587.8,11038180000,17397.5,17506.2,17544.1,-1735.2,578.979,0.000992426
2025-04-07,^IXIC,14978,16292.3,14784,15603.3,12483580000,17139,17413,17359.3,-1696.03,718.734,-0.0214923
2025-04-08,^IXIC,16181,16316.5,15053.4,15267.9,10496650000,16838.6,17304.6,17160.1,-2181.98,863.916,0.121632
2025-04-09,^IXIC,15295.4,17202.9,15270.3,17125,13479740000,16761.2,17278.4,17156.8,-476.08,860.873,-0.0430751
2025-04-10,^IXIC,16635.4,16712.4,15894.3,16387.3,11861670000,16619.5,17232.6,17083.5,-163.299,883.546,0.0205739
2025-04-11,^IXIC,16358.5,16753.4,16228,16724.5,9444890000,16559.7,17181.1,17049.3,1136.67,881.555,0.00639898
2025-04-14,^IXIC,17120.4,17136.6,16661.3,16831.5,9667260000,16512.9,17132.3,17028.5,1228.22,871.971,-0.00049375
2025-04-15,^IXIC,16842.4,16980,16753.2,16823.2,7483050000,16450.2,17098.2,17009,1555.26,869.979,-0.0306726
2025-04-16,^IXIC,16499.7,16600.4,16066.5,16307.2,7909190000,16320.8,17026,16942.1,-817.811,872.869,
2025-01-02,VOO,540.147,541.662,531.946,535.603,7142700,,,535.603,,,0.0129126
2025-01-03,VOO,538.324,542.997,537.337,542.519,6416300,,,536.262,,,0.00582294
2025-01-06,VOO,546.386,549.525,543.934,545.678,5983400,,,537.159,,,-0.0112497
2025-01-07,VOO,547.422,547.701,537.696,539.539,5383200,,,537.385,,,0.00134833
2025-01-08,VOO,539.45,541.124,536.221,540.267,4317000,,,537.66,,,-0.0152175
2025-01-10,VOO,536.849,536.889,530.162,532.045,7935200,,,537.125,-3.55768,,0.00129241
2025-01-13,VOO,527.571,533.062,527.192,532.733,5621000,,,536.707,-9.78607,,0.00127207
2025-01-14,VOO,535.464,536.052,529.973,533.411,8820000,,,536.393,-12.2675,,0.0182902
2025-01-15,VOO,540.965,544.243,539.888,543.167,5307300,,,537.038,3.62744,,-0.00148608
2025-01-16,VOO,544.462,544.622,541.513,542.36,3632800,538.732,,537.545,2.09277,,0.00959136
2025-01-17,VOO,547.023,549.216,545.788,547.562,6558700,539.928,,538.499,15.5162,,0.00909985
2025-01-21,VOO,550.412,552.544,548.598,552.544,5301700,540.931,,539.836,19.8113,,0.00568117
2025-01-22,VOO,555.265,556.999,554.807,555.683,4780000,541.931,,541.346,22.2728,,0.00554155
2025-01-23,VOO,555.115,558.763,554.876,558.763,6217900,543.853,,543.004,15.5959,,-0.00301417
2025-01-24,VOO,558.823,559.719,556.092,557.079,3612100,545.535,,544.345,14.7189,,-0.0139174
2025-01-27,VOO,545.04,549.485,544.941,549.326,7617400,547.263,,544.819,1.76385,,0.00838119
2025-01-28,VOO,550.392,554.727,547.322,553.93,4164700,549.382,,545.687,1.38513,,-0.00438969
2025-01-29,VOO,553.252,553.581,549.066,551.498,4174500,551.191,,546.24,-4.18555,,0.00522226
2025-01-30,VOO,553.451,555.853,550.472,554.378,4296500,552.312,,547.015,-4.38483,,-0.00533881
2025-01-31,VOO,556.69,558.952,550.8,551.418,6243300,553.218,545.975,547.435,-5.66034,8.50324,-0.00656034
2025-02-03,VOO,543.107,550.053,541.104,547.801,7824000,553.242,546.585,547.47,-1.52472,8.15027,0.00663999
2025-02-04,VOO,547.801,551.917,547.332,551.438,4181400,553.131,547.031,547.847,-2.49133,8.16009,0.00410227
2025-02-05,VOO,550.432,553.81,548.508,553.7,3424200,552.933,547.432,548.405,2.20239,8.28629,0.00359961
2025-02-06,VOO,555.365,555.723,552.275,555.693,3606300,552.626,548.24,549.099,1.31543,8.26373,-0.00971983
2025-02-07,VOO,556.172,557.268,549.884,550.292,10161600,551.947,548.741,549.213,-1.1261,8.05611,0.00715318
2025-02-10,VOO,553.521,554.856,552.325,554.229,3517600,552.438,549.85,549.69,6.42773,7.10775,0.000899071
2025-02-11,VOO,552.186,555.195,552.076,554.727,2752900,552.517,550.95,550.17,3.28864,5.92266,-0.00330555
2025-02-12,VOO,549.096,553.999,548.488,552.893,3579500,552.657,551.924,550.429,-0.80719,4.25289,0.0105621
2025-02-13,VOO,553.949,558.942,552.784,558.733,3388500,553.092,552.702,551.22,3.03943,3.98162,3.5721e-05
2025-02-14,VOO,558.962,559.919,558.135,558.753,3380600,553.826,553.522,551.938,8.46063,3.38273,0.00288937
2025-02-18,VOO,559.859,560.367,557.557,560.367,3844900,555.083,554.162,552.74,6.13873,3.40702,0.00241857
2025-02-19,VOO,559.082,561.972,558.593,561.723,3857600,556.111,554.621,553.596,6.99573,3.7758,-0.0042046
2025-02-20,VOO,560.447,560.537,556.291,559.361,4446800,556.677,554.805,554.145,6.46759,3.91714,-0.0170141
2025-02-21,VOO,559.161,559.261,549.365,549.844,6148700,556.092,554.359,553.735,-8.88916,3.95041,-0.00473035
2025-02-24,VOO,551.697,552.594,546.615,547.243,4772300,555.787,553.867,553.117,-11.5101,4.19848,-0.00497143
2025-02-25,VOO,547.283,547.871,540.297,544.522,5491500,554.816,553.627,552.298,-15.8451,4.59099,0.000622208
2025-02-26,VOO,546.117,549.445,542.37,544.861,4180800,553.83,553.174,551.59,-16.8616,4.99004,-0.0160586
2025-02-27,VOO,546.934,547.98,535.743,536.111,5521400,552.152,552.404,550.116,-23.2495,6.28109,0.01554
2025-02-28,VOO,536.56,545.001,533.73,544.442,7328100,550.723,551.908,549.576,-5.40125,6.50566,-0.017224
2025-03-03,VOO,546.306,547.392,531.408,535.065,7290000,548.354,551.09,548.194,-12.1778,7.51914,-0.0120502
2025-03-04,VOO,531.218,536.42,524.342,528.617,10477400,545.179,550.131,546.329,-15.9048,9.03213,0.0112169
2025-03-05,VOO,528.418,535.932,525.109,534.547,6221700,542.461,549.286,545.207,-10.3142,9.67061,-0.0181395
2025-03-06,VOO,527.362,531.587,522.409,524.85,7228900,539.01,547.844,543.268,-11.2609,11.0332,0.00539239
2025-03-07,VOO,523.086,529.046,518.333,527.681,7308300,536.794,546.443,541.784,-16.7619,11.7397,-0.0264395
2025-03-10,VOO,520.097,521.891,509.065,513.729,11176900,533.443,544.615,539.112,-21.336,13.7786,-0.00820548
2025-03-11,VOO,512.553,515.742,505.777,509.514,11208900,529.942,542.379,536.293,-19.1038,15.6388,0.00485058
2025-03-12,VOO,515.104,515.951,507.341,511.985,8590600,526.654,540.242,533.978,-22.5618,16.744,-0.0130607
2025-03-13,VOO,511.736,512.284,503.674,505.298,21650000,523.573,537.862,531.247,-19.5522,18.1726,0.0205306
2025-03-14,VOO,509.514,516.629,509.075,515.672,7412300,520.696,535.709,529.763,-12.0084,18.1205,0.00763342
2025-03-17,VOO,515.662,522.03,515.294,519.609,6269800,519.15,533.752,528.796,5.87958,17.6073,-0.0105484
2025-03-18,VOO,517.526,517.725,512.294,514.128,6010600,517.701,531.44,527.399,4.61395,16.9522,0.0105058
2025-03-19,VOO,515.752,523.146,514.636,519.529,5373900,516.199,529.33,526.65,7.54382,15.553,-0.00230182
2025-03-20,VOO,516.17,522.807,515.533,518.333,6029700,515.548,527.279,525.858,13.0348,14.0131,0.000249989
2025-03-21,VOO,514.008,519.15,512.882,518.463,5059000,514.626,525.71,525.153,2.79034,13.0793,0.0175489
2025-03-24,VOO,524.661,528.558,524.063,527.561,22376300,516.009,524.726,525.383,7.95245,12.0758,0.00238015
2025-03-25,VOO,528.757,529.763,527.282,528.817,6260200,517.939,523.941,525.71,14.6891,11.1996,-0.011665
2025-03-26,VOO,528.727,529.574,521.293,522.648,4410200,519.006,522.83,525.418,3.1192,10.059,-0.00275135
2025-03-27,VOO,521.29,524.68,519.23,521.21,5534900,520.597,522.085,525.017,2.87708,9.56317,-0.0199728
2025-03-28,VOO,519.76,520.46,510.16,510.8,5831800,520.11,520.403,523.663,-7.66254,8.29877,0.00608846
2025-03-31,VOO,505.31,515.33,502.64,513.91,8196700,519.54,519.345,522.734,-13.651,7.65478,0.00367772
2025-04-01,VOO,512.36,517.35,508.88,515.8,7697000,519.707,518.704,522.074,-13.0167,7.36883,0.00602944
2025-04-02,VOO,510.14,521.49,509.93,518.91,6308600,519.645,517.922,521.773,-3.73804,6.35991,-0.0476961
2025-04-03,VOO,501,503.66,493.5,494.16,16226000,517.228,516.388,519.143,-27.05,8.07227,-0.057957
2025-04-04,VOO,481.28,483.3,464.24,465.52,30966500,511.934,513.28,514.036,-45.28,13.5819,-0.00421033
2025-04-07,VOO,449.54,480.76,442.8,463.56,31285300,505.533,510.771,509.229,-50.35,17.5482,-0.0147122
2025-04-08,VOO,479.68,482.49,449.6,456.74,19002700,498.326,508.133,504.23,-59.06,21.3115,0.0927443
2025-04-09,VOO,453.49,502.06,453.16,499.1,29286600,495.971,507.488,503.741,-19.81,21.3835,-0.0341415
2025-04-10,VOO,489.15,490.3,468.33,482.06,16651300,492.056,506.326,501.676,-12.1,22.1272,0.0176119
2025-04-11,VOO,480.69,493,478,490.55,11541200,490.031,505.07,500.617,25.03,22.2813,0.01005
2025-04-14,VOO,500.05,500.26,490.69,495.48,7701500,488.188,503.864,500.127,31.92,22.1052,-0.00280539
2025-04-15,VOO,496.03,499.27,493.42,494.09,8200600,486.017,502.862,499.552,37.35,22.0696,-0.0219798
2025-04-16,VOO,488.65,491.77,478.23,483.23,6374900,482.449,501.047,497.998,-15.87,22.1193,
2025-01-02,SPY,587.622,589.357,578.759,582.887,50204000,,,582.887,,,0.0125033
2025-01-03,SPY,585.768,590.823,584.671,590.175,37888500,,,583.581,,,0.00576063
2025-01-06,SPY,594.482,597.901,591.82,593.574,47679400,,,584.532,,,-0.011304
