ticker,company,sector,location,founded_year,date_added
VRSN,Verisign,Information Technology,Virginia,1995,2006-02-01
VRSK,Verisk Analytics,Industrials,New Jersey,1971,2015-10-08
VZ,Verizon,Communication Services,New York,1983,1983-11-30
VRTX,Vertex Pharmaceuticals,Health Care,Massachusetts,1989,2013-09-23
VTRS,Viatris,Health Care,Pennsylvania,1961,2004-04-23
VICI,Vici Properties,Real Estate,New York,2017,2022-06-08
V,Visa Inc.,Financials,California,1958,2009-12-21
VST,Vistra Corp.,Utilities,Texas,2016,2024-05-08
VMC,Vulcan Materials Company,Materials,Alabama,1909,1999-06-30
WRB,W. R. Berkley Corporation,Financials,Connecticut,1967,2019-12-05
GWW,W. W. Grainger,Industrials,Illinois,1927,1981-06-30
WAB,Wabtec,Industrials,Pennsylvania,1999,2019-02-27
WBA,Walgreens Boots Alliance,Consumer Staples,Illinois,2014,1979-12-31
WMT,Walmart,Consumer Staples,Arkansas,1962,1982-08-31
DIS,Walt Disney Company (The),Communication Services,California,1923,1976-06-30
WBD,Warner Bros. Discovery,Communication Services,New York,2022,2022-04-11
WM,Waste Management,Industrials,Texas,1968,1998-08-31
WAT,Waters Corporation,Health Care,Massachusetts,1958,2002-01-02
WEC,WEC Energy Group,Utilities,Wisconsin,1896,2008-10-31
WFC,Wells Fargo,Financials,California,1852,1976-06-30
WELL,Welltower,Real Estate,Ohio,1970,2009-01-30
WST,West Pharmaceutical Services,Health Care,Pennsylvania,1923,2020-05-22
WDC,Western Digital,Information Technology,California,1970,2009-07-01
WY,Weyerhaeuser,Real Estate,Washington,1900,1979-10-01
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,California,1956,2025-03-24
WMB,Williams Companies,Energy,Oklahoma,1908,1975-03-31
WTW,Willis Towers Watson,Financials,United Kingdom,2016,2016-01-05
WDAY,"Workday, Inc.",Information Technology,California,2005,2024-12-23
WYNN,Wynn Resorts,Consumer Discretionary,Nevada,2002,2008-11-14
XEL,Xcel Energy,Utilities,Minnesota,1909,1957-03-04
XYL,Xylem Inc.,Industrials,New York,2011,2011-11-01
YUM,Yum! Brands,Consumer Discretionary,Kentucky,1997,1997-10-06
ZBRA,Zebra Technologies,Information Technology,Illinois,1969,2019-12-23
ZBH,Zimmer Biomet,Health Care,Indiana,1927,2001-08-07
ZTS,Zoetis,Health Care,New Jersey,1952,2013-06-21
